"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"松井 雅人","Masato Matsui","12846","まつい　まさと","L","R","11/19/1987","1987"
"松井 光介","Kosuke Matsui","12091","まつい　こうすけ","B","R","8/24/1978","1978"
"松井 宏次","Koji Matsui","12934","まつい　こうじ","R","R","12/2/1984","1984"
"松井 秀喜","Hideki Matsui","10840","まつい　ひでき","L","R","6/12/1974","1974"
"松井 淳","Jun Matsui","12839","まつい　じゅん","L","R","11/27/1987","1987"
"松井 淳","Jun Matsui","14328","まつい　じゅん","R","R","5/2/1925","1925"
"松井 信勝","Nobukatsu Matsui","601","","R","R","4/25/1921","1921"
"松井 清","Kiyoshi Matsui","15048","","R","R","4/23/1934","1934"
"松井 達徳","Tatsunori Matsui","10839","","L","L","6/25/1965","1965"
"松井 武雄","Takeo Matsui","14410","","R","R","4/9/1937","1937"
"松井 芳男","Yoshio Matsui","14974","","R","R","1/11/1937","1937"
"松井 満","Mitsuru Matsui","13193","まつい みつる","R","R","5/21/1956","1956"
"松井 佑介","Yusuke Matsui","12843","まつい　ゆうすけ","R","R","7/10/1987","1987"
"松井 優典","Masanori Matsui","13255","まつい まさのり","R","R","6/26/1950","1950"
"松井 裕樹","Yuki Matsui","15757","まつい　ゆうき","L","L","10/30/1995","1995"
"松井 隆昌","Takamasa Matsui","10838","まつい たかまさ","R","R","8/20/1966","1966"
"松浦 一義","Kazuyoshi Matsuura","16091","まつうら　かずよし","R","R","02/11/1910","1910"
"松浦 英信","Hidenobu Matsuura","9551","まつうら ひでのぶ","R","R","2/15/1961","1961"
"松浦 宏明","Hiroaki Matsuura","10841","まつうら","R","R","5/19/1966","1966"
"松浦 弘宣","Hironobu Matsuura","14161","","L","L","9/19/1944","1944"
"松浦 耕大","Kodai Matsuura","15858","","R","R","4/6/1993","1993"
"松浦 三千男","Michio Matsuura","14705","","R","R","5/8/1937","1937"
"松浦 正","Tadashi Matsuura","13176","まつうら ただし","R","R","7/27/1956","1956"
"松永 英一","Eiichi Matsunaga","664","","R","R","6/30/1914","1914"
"松永 幸男","Yukio Matsunaga","10853","","R","R","7/15/1965","1965"
"松永 昂大","Takahiro Matsunaga","15514","まつなが・たかひろ","L","L","4/16/1988","1988"
"松永 浩典","Hironori Matsunaga","12078","まつなが　ひろのり","L","L","2/24/1984","1984"
"松永 浩美","Hiromi Matsunaga","10852","まつなが　ひろみ","B","R","9/27/1960","1960"
"松永 美隆","Yoshitaka Matsunaga","13616","まつなが よしたか","R","R","5/16/1954","1954"
"松岡 一郎","Ichiro Matsuoka","14991","","R","R","7/7/1933","1933"
"松岡 雅俊","Masatoshi Masaoka","14567","","R","R","10/6/1932","1932"
"松岡 健一","Kenichi Matsuoka","11933","まつおか けんいち","R","R","6/7/1982","1982"
"松岡 光雄","Mitsuo Matsuoka","15024","","L","L","2/17/1931","1931"
"松岡 功祐","Kosuke Matsuoka","13390","まつおか こうすけ","R","R","2/9/1943","1943"
"松岡 弘","Hiromu Matsuoka","321","まつおか　ひろむ","R","R","7/26/1947","1947"
"松岡 甲二","Koji Matsuoka","16017","まつおか　こうじ","R","R","","1919"
"松岡 正樹","Masaki Matsuoka","10843","","R","R","1/24/1973","1973"
"松岡 清治","Kiyoharu Matsuoka","13582","まつおか きよはる","R","R","1/7/1954","1954"
"松岡 大吾","Daigo Matsuoka","10842","","R","R","5/27/1970","1970"
"松岡 洋治","Yoji Matsuoka","14883","","L","L","10/19/1935","1935"
"松下 一郎","Ichiro Matsushita","13000","まつした いちろう","R","R","7/19/1988","1988"
"松下 圭太","Keita Matsushita","11675","まつした　けい","L","L","9/18/1984","1984"
"松下 建太","Kenta Matsushita","12890","まつした　けんた","R","R","8/17/1987","1987"
"松下 秀文","Hidefumi Matsushita","14428","","R","R","9/1/1936","1936"
"松下 繁二","Shigeji Matsushita","16332","まつした　しげじ","R","R","08/16/1916","1916"
"松下 芳夫","Yoshio Matsushita","14198","まつした よしお","R","R","5/21/1945","1945"
"松下 立美","Tatsumi Matsushita","13243","まつした たつみ","L","R","3/6/1957","1957"
"松家 卓弘","Takahiro Matsuka","11909","まつか　たかひろ","R","R","7/29/1982","1982"
"松久保 新吾","Shingo Matsukubo","10847","","L","R","5/23/1969","1969"
"松久保 満","Mitsuru Matsukubo","14171","","R","R","7/26/1943","1943"
"松橋 義喜","Yoshiki Matsuhashi","14917","","R","R","1/10/1934","1934"
"松元　ユウイチ","Yuichi Matsumoto","11287","ユウイチ","L","L","12/18/1980","1980"
"松元 三彦","Mitsuhiko Matsumoto","16158","まつもと　みつひこ","R","R","08/23/1915","1915"
"松元 秀一郎","Shuichiro Matsumoto","10856","","B","R","6/22/1972","1972"
"松元 繁","Shigeru Matsumoto","10855","","R","R","5/30/1971","1971"
"松原 誠","Makoto Matsubara","13175","まつばら まこと","R","R","1/13/1944","1944"
"松原 明夫","Hiroaki Matsubara","13139","まつばら ひろあき","R","R","12/27/1950","1950"
"松原 靖","Yasushi Matsubara","12602","まつばら　やすし","L","L","11/16/1964","1964"
"松原 良明","Yoshiaki Matsubara","13700","まつばら よしあき","R","R","1/4/1948","1948"
"松広 金一","Kinichi Matsuhiro","16171","まつひろ　きんいち","L","L","04/15/1916","1916"
"松坂 健太","Kenta Matsusaka","11812","","R","R","8/16/1985","1985"
"松坂 大輔","Daisuke Matsuzaka","11244","まつざか　だいすけ","R","R","9/13/1980","1980"
"松崎 秀昭","Hideaki Matsuzaki","12643","まつざき ひであき","R","R","5/1/1966","1966"
"松崎 伸吾","Shingo Matsuzaki","12107","まつざき　しんご","L","L","9/17/1983","1983"
"松崎 泰治","Yasuji Matsuzaki","13174","まつざき やすじ","R","R","7/14/1952","1952"
"松山 傑","Suguru Matsuyama","12400","まつやま・すぐる","R","R","9/8/1989","1989"
"松山 秀明","Hideaki Matsuyama","10859","","R","R","4/18/1967","1967"
"松山 昇","Noboru Matsuyama","14525","","R","R","7/20/1932","1932"
"松山 竜平","Ryuhei Matsuyama","12432","まつやま・りゅうへい","L","R","9/18/1985","1985"
"松沼 雅之","Masayuki Matsunuma","430","まつぬま　まさゆき","R","R","7/24/1956","1956"
"松沼 博久","Hirohisa Matsunuma","314","まつぬま　ひろひさ","L","R","9/29/1952","1952"
"松川 博爾","HIroji Matsukawa","533","","R","R","8/30/1926","1926"
"松川 誉弘","Takahiro Matsukawa","11811","","L","L","4/28/1985","1985"
"松村 憲章","Noriaki Matsumura","13264","まつむら のりあき","R","R","5/3/1951","1951"
"松村 高明","Takaaki Matsumura","12584","","R","R","11/5/1968","1968"
"松村 正晴","Masahara Matsumura","13339","まつむら まさはる","R","R","10/1/1941","1941"
"松村 豊司","Toyoji Matsumura","11861","","R","R","6/5/1981","1981"
"松谷 栄司","Eiji Matsutani","13993","","L","L","5/7/1944","1944"
"松谷 秀幸","Hideyuki Matsutani","11490","まつたに　ひでゆき","R","R","10/16/1982","1982"
"松谷 竜二郎","Ryujiro Matsutani","10850","","R","R","7/10/1964","1964"
"松中 信彦","Nobuhiko Matsunaka","10851","まつなか　のぶひこ","L","L","12/26/1973","1973"
"松田 匡司","Masashi Matsuda","11351","まつだ　まさし","L","R","11/16/1974","1974"
"松田 光保","Mitsuyasu Matsuda","13875","","R","R","9/2/1953","1953"
"松田 康彦","Yasuhiko Matsuda","15125","","R","R","1/2/1931","1931"
"松田 慎司","Shinji Matsuda","10849","まつだ　しんじ","L","L","12/17/1967","1967"
"松田 清","Kiyoshi Matsuda","285","まつだ　きよし","L","L","12/11/1930","1930"
"松田 宣浩","Nobuhiro Matsuda","12067","まつだ　のぶひろ","R","R","5/17/1983","1983"
"松田 勇吉","Yukichi Matsuda","14993","","R","R","6/23/1935","1935"
"松田 友一","Tomokazu Matsuda","571","","L","L","8/12/1925","1925"
"松田 遼馬","Ryoma Matsuda","15399","まつだ　りょうま","R","R","2/8/1994","1994"
"松田 和久","Kazuhisa Matsuda","14637","","R","R","7/16/1966","1966"
"松田 和哉","Kazuya Matsuda","10848","","L","R","4/3/1973","1973"
"松田 翔太","Shota Matsuda","12721","まつだ・しょうた","L","L","5/17/1990","1990"
"松島 英雄","Hideo Matsushima","13640","まつしま ひでお","R","R","7/24/1951","1951"
"松比良 平太","Heita Matsuhira","11270","まつひら　へいた","R","R","7/13/1980","1980"
"松尾 英治"," ","14628","","R","R","11/1/1964","1964"
"松尾 輝義","Teruyoshi Matsuo","13661","まつお てるよし","R","R","4/23/1951","1951"
"松尾 五郎","Goro Matsuo","16333","まつお　ごろう","R","R","10/11/1915","1915"
"松尾 幸造","Kozo Matsuo","628","","L","L","6/20/1918","1918"
"松冨 倫","Rin Matsutomo","15533","まつとみ・りん","R","R","4/26/1990","1990"
"松並 和視","Kazumi Matsunami","14141","","R","R","2/7/1941","1941"
"松本 輝","Akira Matsumoto","10854","アキラ","R","R","8/30/1977","1977"
"松本 匡史","Tadashi Matsumoto","128","まつもと　ただし","B","R","8/8/1954","1954"
"松本 啓二朗","Keijiro Matsumoto","12686","まつもと　けいじろう","L","L","6/24/1986","1986"
"松本 光三郎","Kosaburo Matsumoto","16167","まっもと　こうさぶろ","R","R","01/28/1916","1916"
"松本 幸行","Yukitsura Matsumoto","407","まつもと ゆきつら","L","L","6/5/1947","1947"
"松本 幸大","Kodai Matsumoto","12163","まつもと　こうだい","L","L","12/23/1980","1980"
"松本 高明","Takaaki Matsumoto","11695","まつもと　たかあき","L","R","4/12/1984","1984"
"松本 剛","Go Matsumoto","15395","まつもと　ごう","R","R","8/11/1993","1993"
"松本 俊一","Shunichi Matsumoto","13772","","R","R","9/17/1940","1940"
"松本 春男","Haruo Matsumoto","14892","","R","R","4/12/1935","1935"
"松本 尚樹","Naoki Matsumoto","10858","","R","R","9/11/1970","1970"
"松本 照夫","Teruo Matsumoto","13343","まつもと　てるお","R","R","3/23/1943","1943"
"松本 正志","Shoji Matsumoto","9462","まつもと しょうじ","L","L","4/2/1959","1959"
"松本 操","Misao Matsumoto","16334","まつもと　みさお","B","L","12/16/1914","1914"
"松本 太","Futoshi Matsumoto","611","","L","L","6/30/1924","1924"
"松本 泰三","Taizo Matsumoto","16018","まつもと　たいぞう","R","R","","1925"
"松本 卓也","Takuya Matsumoto","11163","","R","R","11/14/1966","1966"
"松本 拓也","Takuya Matsumoto","11269","まつもと　たくや","R","R","4/24/1980","1980"
"松本 忠繁","Tadashige Matsumoto","15157","","R","R","5/3/1924","1924"
"松本 哲也","Tetsuya Matsumoto","12355","まつもと　てつや","L","L","7/3/1984","1984"
"松本 忍","Shinobu Matsumoto","13752","まつもと　しのぶ","L","L","6/17/1947","1947"
"松本 奉文","Tomofumi Matsumoto","11343","まつもと　ともふみ","R","R","5/1/1977","1977"
"松本 芳之","Yoshiyuki Matsumoto","13258","まつもと よしゆき","R","R","2/13/1952","1952"
"松本 豊","Yutaka Matsumoto","9901","まつもと　ゆたか","R","R","4/14/1963","1963"
"松本 勇","Isamu Matsumoto","550","","R","R","4/22/1922","1922"
"松本 裕樹","Yuki Matsumoto","15896","","L","R","4/14/1996","1996"
"松本 雄作","Yusaku Matsumoto","14051","","L","L","6/20/1940","1940"
"松本 利一","Shunichi Matsumoto","16272","まつもと　しゅんいち","L","L","06/22/1921","1921"
"松本 隆","Takashi Matsumoto","10857","","R","R","2/19/1970","1970"
"松本 竜也","Ryuya Matsumoto","15349","まつもと　りゅうや","L","L","4/29/1993","1993"
"松本 和弘","Kazuhiro Matsumoto","14676","","R","R","10/25/1970","1970"
"松本 和雄","Kazuo Matsumoto","15194","","R","R","8/18/1923","1923"
"松木 謙治郎","Kenjiro Matsuki","445","まつき　けんじろう","L","L","1/22/1909","1909"
"松葉 貴大","Takahiro Matsuba","15518","まつば・たかひろ","L","L","8/14/1990","1990"
"松葉 昇","Noboru Matsuba","15190","","R","R","3/9/1922","1922"
"松林 茂","Shigeru Matsubayashi","13413","まつばやし しげる","R","R","8/23/1947","1947"
"松林 和雄","Kazuo Matsubayashi","9777","まつばやし　かずお","B","R","6/28/1962","1962"
"沼沢 康一郎","Koichiro Numazawa","14599","","R","R","8/15/1930","1930"
"沼田 浩","Hiroshi Numata","10671","","R","R","6/6/1973","1973"
"沼田 春雄","Haruo Numata","16019","ぬまた　はるお","NA","R","","1921"
"鐘井 裕治","Koji Kanei","9488","かねい ゆうじ","R","R","12/3/1957","1957"
"鞘師 智也","Tomoya Sayashi","11715","さやし　ともや","R","R","5/6/1980","1980"
"上園 啓史","Keiji Uezono","12182","うえぞの　けいじ","R","R","6/30/1984","1984"
"上岡 良一","Ryoichi Ueoka","12552","","R","R","8/11/1966","1966"
"上垣内 誠","Makoto Kamigouchi","13397","かみごうち まこと","R","R","6/30/1944","1944"
"上原 厚治郎","Kojiro Uehara","11936","うえはら こうじろう","R","R","6/12/1983","1983"
"上原 晃","Akira Uehara","10120","","R","R","5/16/1969","1969"
"上原 浩治","Koji Uehara","11215","うえはら　こうじ","R","R","4/3/1975","1975"
"上口 政","Masashi Kamiguchi","614","かみぐち　まさし","R","R","3/28/1923","1923"
"上坂 太一郎","Taichiro Kamisaka","11349","かみさか　たいちろう","R","R","4/14/1977","1977"
"上山 勲","Isao Ueyama","12520","","R","R","5/8/1973","1973"
"上市 皓雄","Teruo Kamiichi","14806","","R","R","1/12/1933","1933"
"上条 高敬","Takahiro Kamijo","14158","","R","R","9/26/1940","1940"
"上水流 洋","Hiroshi Kamizuru","13173","かみづる ひろし","R","R","3/8/1954","1954"
"上川 誠二","Seiji Kamikawa","12654","かみかわ　せいじ","L","R","3/27/1960","1960"
"上村 孝一","Koichi Uemura","9577","うえむら　こういち","R","R","4/29/1963","1963"
"上村 和裕","Kazuhiro Uemura","11531","うえむら　かずひろ","B","R","2/20/1983","1983"
"上沢 直之","Naoyuki Uwasawa","15392","うわさわ　なおゆき","R","R","2/6/1994","1994"
"上地 和彦","Kazuhiko Uechi","9602","うえち　かずひこ","R","R","4/4/1964","1964"
"上中 吉成","Yoshinari Uenaka","10118","うえなか　よしなり","R","R","7/16/1969","1969"
"上辻 修","Osamu Uetsuji","13431","うえつじ おさむ","R","R","7/15/1948","1948"
"上田 佳範","Yoshinori Ueda","10117","うえだ　よしのり","L","R","11/18/1973","1973"
"上田 好剛","Yoshitake Ueda","10116","","R","R","10/13/1971","1971"
"上田 浩明","Hiroaki Ueda","10113","うえだ　ひろあき","R","R","4/30/1969","1969"
"上田 剛史","Tsuyoshi Ueda","12237","うえだ　つよし","L","R","10/2/1988","1988"
"上田 次朗","Jiro Ueda","405","うえだ じろう","R","R","7/6/1947","1947"
"上田 重夫","Shigeo Ueda","14373","うえだ　しげお","L","L","7/27/1939","1939"
"上田 正","Tadashi Ueda","16147","うえだ　ただし","R","R","10/25/1914","1914"
"上田 卓三","Takuzo Ueda","13257","うえだ たくぞう","L","L","7/12/1948","1948"
"上田 藤夫","Fujio Ueda","250","うえだ　ふじお","R","R","3/6/1912","1912"
"上田 武司","Takeshi Ueda","13241","うえだ たけし","R","R","3/16/1946","1946"
"上田 容三","Yozo Ueda","13460","うえだ ようぞう","L","L","6/14/1950","1950"
"上田 利治","Toshiharu Ueda","14575","","R","R","1/18/1937","1937"
"上田 良夫","Yoshio Ueda","16142","うえだ　よしお","R","R","07/10/1914","1914"
"上田 和明","Kazuaki Ueda","12644","うえだ かずあき","R","R","8/3/1962","1962"
"上土井 勝利","Katsutoshi Kamidoi","14790","かみど　かつとし","R","R","10/15/1938","1938"
"上福元 勤","Tsutomu Kamifukumoto","12679","かみふくもと つとむ","R","R","1/4/1966","1966"
"上本 崇司","Takashi Uemoto","15475","うえもと・たかし","R","R","8/22/1990","1990"
"上本 達之","Tatsuyuki Uemoto","11704","うえもと　たつゆき","L","R","11/8/1980","1980"
"上本 博紀","Hiroki Uemoto","12753","うえもと　ひろき","R","R","7/4/1986","1986"
"上野 貴久","Takahisa Ueno","12225","うえの　たかひさ","L","L","12/9/1982","1982"
"上野 義秋","Yoshiaki Ueno","15221","","R","R","12/11/1920","1920"
"上野 啓輔","Keisuke Ueno","12981","うえの けいすけ","R","R","3/6/1986","1986"
"上野 弘文","Hirofumi Ueno","12176","うえの　ひろぶみ","R","R","4/10/1981","1981"
"上野 克二","Katsuji Ueno","13188","うえの かつじ","R","R","7/4/1958","1958"
"上野 重雄","Shigeo Ueno","15034","","R","R","3/25/1923","1923"
"上野 大樹","Hiroki Ueno","12723","うえの　ひろき","R","R","10/13/1986","1986"
"上野 忠","Tadashi Ueno","14695","","R","R","11/2/1972","1972"
"上野 裕平","Yuhei Ueno","11464","うえの　ゆうへい","R","R","12/25/1978","1978"
"上林 誠知","Seiji Uebayashi","15793","","L","R","8/1/1995","1995"
"上林 繁次郎","Shigejiro Uebayashi","15161","","R","R","1/13/1917","1917"
"丈武","Jobu Morita","12716","もりた・じょうぶ","R","R","11/29/1980","1980"
"乗替 寿好","Hisayoshi Norikae","13622","のりかえ ひさよし","L","L","11/15/1950","1950"
"城 友博","Tomohiro Jo","10451","","R","R","4/30/1969","1969"
"城戸 則文","Norifumi Kido","13613","きど のりふみ","R","R","3/5/1939","1939"
"城所 龍磨","Ryuma Kidokoro","11798","","L","R","9/24/1985","1985"
"城石 憲之","Noriyuki Shiroishi","10461","しろいし　のりゆき","R","R","4/17/1973","1973"
"城土 大治朗","Daijiro Jyodo","12542","","B","R","3/6/1965","1965"
"城島 健司","Kenji Jojima","10452","じょうじまけんじ","R","R","6/8/1976","1976"
"城之内 邦雄","Kunio Jonouchi","294","じょうのうち　くにお","R","R","2/3/1940","1940"
"城野 勝博","Katsuhiro Jono","13890","","R","R","8/17/1944","1944"
"常見 昇","Noboru Tsunemi","14841","","R","R","3/30/1928","1928"
"常見 茂","Shigeru Tsunemi","502","つねみ　しげる","R","R","12/15/1922","1922"
"常川 助三郎","Sukesaburo Tsunekawa","16239","つねかわ　すけさぶろう","L","L","11/24/1918","1918"
"植 大輔","Daisuke Ue","11676","うえ　だいすけ","L","L","10/7/1980","1980"
"植原 修平","Shuhei Uehara","13425","うえはら しゅうへい","R","R","4/28/1947","1947"
"植松 精一","Seiichi Uematsu","13172","うえまつ せいいち","L","R","10/10/1955","1955"
"植松 優友","Masatomo Uematsu","12386","うえまつ・まさとも","L","L","11/27/1989","1989"
"植村 義信","Yoshinobu Uemura","14205","うえむら よしのぶ","R","R","1/5/1935","1935"
"植村 祐介","Yusuke Uemura","12195","うえむら　ゆうすけ","R","R","7/5/1988","1988"
"植田 海","Kai Ueda","15845","","R","R","4/19/1996","1996"
"植田 幸弘","Yukihiro Ueda","10114","うえだ ゆきひろ","R","R","7/27/1964","1964"
"植田 征作","Seisaku Ueda","13951","","L","L","6/29/1939","1939"
"植田 隼美","Hayami Ueda","16297","うえだ　はやみ","R","R","09/20/1923","1923"
"植田 武彦","Takehiko Ueda","15085","","R","R","4/13/1927","1927"
"植木 一智","Kazutomo Ueki","13311","うえき かずとも","L","L","7/15/1946","1946"
"植野 浩史","Hiroshi Ueno","14227","うえの　ひろし","R","R","7/17/1940","1940"
"織田 光正","Mitsumasa Oda","14077","おだ　みつまさ","R","R","4/30/1941","1941"
"織田 淳哉","Junya Orita","10206","","R","R","8/8/1972","1972"
"織辺 由三","Yoshizo Oribe","16020","おりべ　よしぞう","R","R","","1920"
"信原 拓人","Takuto Nobuhara","10679","のぶはら　たくと","L","R","9/10/1976","1976"
"新井 一","Hajime Arai","16021","あらい　はじめ","R","R","","1916"
"新井 貴浩","Takahiro Arai","11236","あらい　たかひろ","R","R","1/30/1977","1977"
"新井 潔","Kiyoshi Arai","10027","あらい　きよし","B","R","4/11/1969","1969"
"新井 宏昌","Hiromasa Arai","6","あらい　ひろまさ","L","R","4/26/1952","1952"
"新井 克太郎","Katsutaro Arai","13171","あらい かつたろう","R","R","10/22/1959","1959"
"新井 彰","Akira Arai","14156","","L","R","9/19/1939","1939"
"新井 昌則","Masanori Arai","13170","あらい まさのり","R","R","6/23/1948","1948"
"新井 智","Satoshi Arai","11671","あらい　さとし","L","L","7/25/1982","1982"
"新井 茂","Shigeru Arai","14208","","L","L","9/29/1935","1935"
"新井 竜郎","Tatsuo Arai","14969","","R","R","5/3/1928","1928"
"新井 亮司","Ryoji Arai","11348","あらい　りょうじ","R","R","5/20/1981","1981"
"新井 良太","Ryota Arai","12074","あらい　りょうた","R","R","8/16/1983","1983"
"新井 良夫","Yoshio Arai","13242","あらい よしお","R","R","7/17/1950","1950"
"新浦 壽夫","Hisao Niiura","11020","にうら ひさお","L","L","5/11/1951","1951"
"新屋 晃","Akira Shinya","13254","しんや あきら","R","R","2/1/1955","1955"
"新垣 渚","Nagisa Arakaki","11723","あらかき　なぎさ","R","R","5/9/1980","1980"
"新垣 勇人","Hayato Arakaki","15494","あらかき・はやと","R","R","10/21/1985","1985"
"新居 一仁","Kazuhito Arai","15120","あらい　かずひと","R","R","10/11/1931","1931"
"新崎 慎弥","Shinya Arasaki","15347","あらさき・しんや","L","R","10/22/1989","1989"
"新山 彰忠","Akitada Niiyama","13354","にいやま あきただ","R","R","7/29/1939","1939"
"新治 伸治","Shinji Nihari","13375","にいはり しんじ","R","R","7/31/1941","1941"
"新庄 剛志","Tsuyoshi Shinjo","10463","","R","R","1/28/1972","1972"
"新沼 慎二","Shinji Niinuma","11079","にいぬま　しんじ","B","R","6/22/1979","1979"
"新宅 洋志","Hiroshi Shintaku","13215","しんたく ひろし","R","R","12/9/1943","1943"
"新谷 吉孝","Yoshitaka Shinya","13098","しんや よしたか","R","R","8/6/1954","1954"
"新谷 博","Hiroshi Shintani","10464","","R","R","7/14/1964","1964"
"新田 玄気","Genki Nitta","12707","にった　げんき","R","R","8/22/1982","1982"
"新田 道郎","Michio Nitta","15070","にった　みちお","R","R","5/8/1933","1933"
"新藤 貞文","Sadafumi Shindo","15267","","L","L","1/24/1925","1925"
"新美 敏","Satoshi Niimi","304","にいみ　さとし","R","R","8/2/1952","1952"
"新富 卯三郎","Usaburo Shintomi","16149","しんとみ　うさぶろう","R","R","02/13/1915","1915"
"新保 高正","Takamasa Shinbo","14819","しんぼ　たかまさ","R","R","11/12/1937","1937"
"新里 賢","Ken Shinzato","11826","","R","R","4/12/1981","1981"
"新里 紹也","Shoya Shinzato","10462","","R","R","8/6/1972","1972"
"新留 国良","Kuniyoshi Niidome","14976","","L","L","9/5/1920","1920"
"森 一晃","Kazuaki Mori","13169","もり かずあき","R","R","3/19/1956","1956"
"森 雅功","Masanori Mori","15146","","R","R","9/9/1922","1922"
"森 祇晶","Masaaki Mori","15569","もり　まさあき","L","R","1/9/1937","1937"
"森 厚三","Kozo Mori","9761","もり　こうぞう","R","R","3/19/1959","1959"
"森 弘太郎","Kotaro Mori","324","","R","R","5/29/1915","1915"
"森 恒雄","Tsuneo Mori","16022","もり　つねお","R","NA","","1923"
"森 浩二","Koji Mori","10920","もり こうじ","R","R","1/1/1962","1962"
"森 浩之","Hiroyuki Mori","10923","","R","R","2/4/1965","1965"
"森 国五郎","Kunigoro Mori","16249","もり　くにごろう","L","L","09/01/1919","1919"
"森 秀二"," ","14664","","R","R","4/26/1969","1969"
"森 昌彦","Masahiko Mori","139","もり　まさひこ","L","R","1/9/1937","1937"
"森 章剛","Shogo Mori","11106","ショーゴー","L","R","5/22/1979","1979"
"森 慎二","Shinji Mori","10921","もり　しんじ","R","R","9/12/1974","1974"
"森 大輔","Daisuke Mori","11865","","L","L","8/31/1982","1982"
"森 跳二","Choji Mori","11912","もり ちょうじ","R","R","4/15/1982","1982"
"森 徹","Toru Mori","140","もり　とおる","R","R","11/3/1935","1935"
"森 博幸","Hiroyuki Mori","476","もり　ひろゆき","L","L","5/29/1963","1963"
"森 繁和","Shigekazu Mori","427","もり　しげかず","R","R","11/18/1954","1954"
"森 範行","Noriyuki Mori","10922","もり のりゆき","R","R","12/31/1966","1966"
"森 茂雄","Shigeo Mori","16070","もり　しげお","R","R","03/18/1906","1906"
"森 唯斗","Yuito Mori","15791","","R","R","1/8/1992","1992"
"森 友哉","Tomoya Mori","15775","もり　ともや","L","R","8/8/1995","1995"
"森 雄大","Yudai Mori","15508","もり・ゆうだい","L","L","8/19/1994","1994"
"森 和樹","Kazuki Mori","15356","もり・かずき","R","R","6/23/1993","1993"
"森 廣二","Koji Mori","10919","","R","R","3/8/1969","1969"
"森安 敏明","Toshiaki Moriyasu","13716","もりやす としあき","R","R","12/18/1947","1947"
"森井 茂","Shigeru Morii","532","","R","R","4/12/1915","1915"
"森永 勝也","Katsuji Morinaga","142","もりなが　かつや","L","L","4/5/1934","1934"
"森越 祐人","Yuto Morikoshi","12952","もりこし ゆうと","R","R","8/11/1988","1988"
"森岡 裕之","Hiroyuki Morioka","10924","","R","R","5/23/1974","1974"
"森岡 良介","Ryosuke Morioka","11705","もりおか　ようすけ","L","R","7/15/1984","1984"
"森下 宗","Tsukasa Morishita","15550","もりした・つかさ","L","L","2/23/1991","1991"
"森下 重好","Shibayoshi Morishita","14952","","R","R","4/12/1920","1920"
"森下 整鎮","Nobuyasu Morishita","144","もりした　のぶやす","R","R","9/4/1933","1933"
"森下 博","Hiroshi Morishita","642","もりした　ひろし","L","L","7/25/1921","1921"
"森笠 繁","Shigeru Morikasa","11234","もりかさ　しげる","B","R","10/4/1976","1976"
"森光 正吉","Shokichi Morimitsu","13775","","R","R","3/5/1941","1941"
"森口 益光","Masumitsu Moriguchi","425","もりぐち　ますみつ　","R","R","7/20/1953","1953"
"森口 次郎","Jiro Moriguchi","16071","もりぐち　じろう","L","L","09/27/1906","1906"
"森口 哲夫","Tetsuo Moriguchi","14321","","R","R","5/3/1935","1935"
"森山 一人","Kazuto Moriyama","10930","もりやま　かずと","R","R","12/19/1973","1973"
"森山 周","Makoto Moriyama","12087","もりやま　まこと","L","R","8/11/1981","1981"
"森山 正義","Masatoshi Moriyama","13509","もりやま まさよし","R","R","9/14/1950","1950"
"森山 良二","Ryoji Moriyama","10929","もりやま　りょうじ","R","R","7/20/1963","1963"
"森重 泰浩"," ","14672","","R","R","5/26/1970","1970"
"森川 卓郎","Takuro Morikawa","13985","","L","L","8/28/1941","1941"
"森滝 義巳","Yoshimi Moritaki","379","","R","R","3/8/1938","1938"
"森谷 昭","Akira Moritani","13112","もりたに あきら","R","R","7/18/1955","1955"
"森谷 昭人","Akihito Moritani","11128","もりたに　あきひと","R","R","10/8/1979","1979"
"森谷 良平","Ryohei Moritani","15127","","R","R","10/16/1914","1914"
"森中 聖雄","Masao Morinaka","10927","もりなか　まさお","L","L","4/9/1974","1974"
"森中 千香良","Chikara Morinaka","13576","もりなか ちから","B","R","10/20/1939","1939"
"森田 一成","Issei Morita","12395","もりた・いっせい","L","R","8/4/1989","1989"
"森田 幸一","Koichi Morita","10925","もりた　こういち","R","R","9/21/1965","1965"
"森田 実"," ","14622","","L","R","1/30/1963","1963"
"森田 実","Minoru Morita","16023","もりた　みのる","L","L","","1919"
"森田 定雄","Sadao Morita","627","","R","R","8/18/1920","1920"
"森田 斌","Takeshi Morita","14543","もりた　たけし","R","R","4/27/1935","1935"
"森田 芳彦","Yoshihiko Morita","11162","もりた よしひこ","R","R","2/5/1962","1962"
"森田 明義","Akiyoshi Morita","16335","もりた　あきよし","R","R","10/14/1924","1924"
"森内 勝巳","Katsumi Moriuchi","15094","もりうち　かつみ","L","L","9/4/1935","1935"
"森内 壽春","Toshiharu Moriuchi","15391","もりうち　としはる","R","R","1/2/1985","1985"
"森福 允彦","Masahiko Morifuku","12169","もりふく　まさひこ","L","L","7/29/1986","1986"
"森本 学","Satoru Morimoto","11754","もりもと　さとる","R","R","1/6/1978","1978"
"森本 稀哲","Hichori Morimoto","11251","もりもと　ひちょり","R","R","1/31/1981","1981"
"森本 潔","Kiyoshi Morimoto","141","もりもと　きよし","R","R","4/13/1942","1942"
